"","nname","image_score","prcse_score"
"182","B4_P-Violet",3,4.2
"183","C5_P-Lemon",6,5.2
"184","D6_P-Tquise",2,3.2
"185","A3_unipink",7,4.2
"186","B4_P-Violet",5,3
"187","C5_P-Lemon",7,5.4
"188","D6_P-Tquise",2,2.2
"189","A3_unipink",6,5
"190","B4_P-Violet",6,5.8
"191","C5_P-Lemon",7,5.8
"192","D6_P-Tquise",5,4.6
"193","A3_unipink",7,6
"194","B4_P-Violet",7,6
"195","C5_P-Lemon",7,6
"196","D6_P-Tquise",7,6
"197","A3_unipink",7,4.4
"198","B4_P-Violet",6,5.4
"199","C5_P-Lemon",5,4.6
"200","D6_P-Tquise",4,3.6
"201","A3_unipink",6,5.4
"202","B4_P-Violet",5,5.2
"203","C5_P-Lemon",4,3
"204","D6_P-Tquise",4,3.4
"205","A3_unipink",5,4.6
"206","B4_P-Violet",5,3.6
"207","C5_P-Lemon",6,5.4
"208","D6_P-Tquise",4,4.2
"209","A3_unipink",5,3.2
"210","B4_P-Violet",3,2.4
"211","C5_P-Lemon",5,4.4
"212","D6_P-Tquise",2,2.8
"213","A3_unipink",7,6
"214","B4_P-Violet",7,7
"215","C5_P-Lemon",7,7
"216","D6_P-Tquise",5,5.4
"217","A3_unipink",7,5.8
"218","B4_P-Violet",5,6
"219","C5_P-Lemon",7,7
"220","D6_P-Tquise",5,4.6
"221","A3_unipink",6,5.2
"222","B4_P-Violet",4,4.2
"223","C5_P-Lemon",6,5.2
"224","D6_P-Tquise",2,2.6
"225","A3_unipink",1,3.4
"226","B4_P-Violet",1,1
"227","C5_P-Lemon",7,7
"228","D6_P-Tquise",1,4
"229","A3_unipink",5,3.2
"230","B4_P-Violet",5,4.4
"231","C5_P-Lemon",5,5
"232","D6_P-Tquise",6,5.6
"233","A3_unipink",7,4.2
"234","B4_P-Violet",1,2.8
"235","C5_P-Lemon",7,6
"236","D6_P-Tquise",5,5.8
"237","A3_unipink",6,3.2
"238","B4_P-Violet",3,2.8
"239","C5_P-Lemon",6,5.4
"240","D6_P-Tquise",1,1.6
"241","A3_unipink",5,3.8
"242","B4_P-Violet",4,4.2
"243","C5_P-Lemon",6,5.6
"244","D6_P-Tquise",1,2.2
"245","A3_unipink",6,5.4
"246","B4_P-Violet",5,6.2
"247","C5_P-Lemon",7,6
"248","D6_P-Tquise",3,4.2
"249","A3_unipink",6,5
"250","B4_P-Violet",4,3.8
"251","C5_P-Lemon",5,4.8
"252","D6_P-Tquise",3,4.4
"253","A3_unipink",6,5.2
"254","B4_P-Violet",7,6.6
"255","C5_P-Lemon",6,5.4
"256","D6_P-Tquise",5,3.6
"257","A3_unipink",6,4.6
"258","B4_P-Violet",2,3.4
"259","C5_P-Lemon",5,4
"260","D6_P-Tquise",2,2.8
"261","A3_unipink",6,4.6
"262","B4_P-Violet",4,4
"263","C5_P-Lemon",7,5.4
"264","D6_P-Tquise",3,3.4
"265","A3_unipink",5,4.6
"266","B4_P-Violet",2,2
"267","C5_P-Lemon",5,2
"268","D6_P-Tquise",2,2
"269","A3_unipink",6,6.4
"270","B4_P-Violet",5,5.2
"271","C5_P-Lemon",7,4.6
"272","D6_P-Tquise",3,3.6
"273","A3_unipink",5,4.8
"274","B4_P-Violet",7,5.4
"275","C5_P-Lemon",5,5.2
"276","D6_P-Tquise",1,1
"277","A3_unipink",6,5
"278","B4_P-Violet",5,3
"279","C5_P-Lemon",7,5.2
"280","D6_P-Tquise",5,4.8
"281","A3_unipink",6,3.8
"282","B4_P-Violet",4,2.6
"283","C5_P-Lemon",6,5.4
"284","D6_P-Tquise",7,5.4
"285","A3_unipink",4,2.2
"286","B4_P-Violet",1,1.4
"287","C5_P-Lemon",5,4
"288","D6_P-Tquise",7,6
"289","A3_unipink",6,4.8
"290","B4_P-Violet",5,3
"291","C5_P-Lemon",7,5
"292","D6_P-Tquise",6,5.4
"293","A3_unipink",6,4.4
"294","B4_P-Violet",5,4.6
"295","C5_P-Lemon",4,3.8
"296","D6_P-Tquise",2,2.4
"297","A3_unipink",6,5.4
"298","B4_P-Violet",5,5
"299","C5_P-Lemon",7,6.2
"300","D6_P-Tquise",3,3.8
"301","A3_unipink",6,4.6
"302","B4_P-Violet",6,6
"303","C5_P-Lemon",6,6
"304","D6_P-Tquise",5,5
"305","A3_unipink",6,5
"306","B4_P-Violet",4,3.8
"307","C5_P-Lemon",4,4.6
"308","D6_P-Tquise",4,5.2
"309","A3_unipink",3,3
"310","B4_P-Violet",2,2
"311","C5_P-Lemon",5,4.4
"312","D6_P-Tquise",2,2
"313","A3_unipink",5,3.2
"314","B4_P-Violet",5,4.8
"315","C5_P-Lemon",5,4
"316","D6_P-Tquise",2,2.8
"317","A3_unipink",5,5
"318","B4_P-Violet",5,5
"319","C5_P-Lemon",7,5.6
"320","D6_P-Tquise",3,4
"321","A3_unipink",3,3.4
"322","B4_P-Violet",4,4.6
"323","C5_P-Lemon",5,5.2
"324","D6_P-Tquise",3,2.6
"325","A3_unipink",7,5.4
"326","B4_P-Violet",4,4.2
"327","C5_P-Lemon",7,5.2
"328","D6_P-Tquise",3,2.8
"329","A3_unipink",6,4
"330","B4_P-Violet",6,4.8
"331","C5_P-Lemon",6,4.4
"332","D6_P-Tquise",3,2.6
"333","A3_unipink",6,4.2
"334","B4_P-Violet",5,4.6
"335","C5_P-Lemon",6,5.8
"336","D6_P-Tquise",6,6
"337","A3_unipink",1,2.2
"338","B4_P-Violet",6,6.2
"339","C5_P-Lemon",7,6.4
"340","D6_P-Tquise",1,3.2
"341","A3_unipink",5,4.6
"342","B4_P-Violet",3,3.2
"343","C5_P-Lemon",5,4.4
"344","D6_P-Tquise",3,2.2
"345","A3_unipink",6,4.4
"346","B4_P-Violet",2,3
"347","C5_P-Lemon",5,2.8
"348","D6_P-Tquise",5,5.4
"349","A3_unipink",7,4.6
"350","B4_P-Violet",3,4.4
"351","C5_P-Lemon",7,6.2
"352","D6_P-Tquise",3,4.2
"353","A3_unipink",1,3.4
"354","B4_P-Violet",4,4
"355","C5_P-Lemon",4,4
"356","D6_P-Tquise",4,4
"357","A3_unipink",5,4.4
"358","B4_P-Violet",2,2
"359","C5_P-Lemon",6,5.6
"360","D6_P-Tquise",3,3
"361","A3_unipink",2,1.8
"362","B4_P-Violet",3,3.8
"363","C5_P-Lemon",1,1.8
"364","D6_P-Tquise",2,1.4
"365","A3_unipink",5,5
"366","B4_P-Violet",6,5.4
"367","C5_P-Lemon",7,6.2
"368","D6_P-Tquise",6,6.4
"369","A3_unipink",4,3.6
"370","B4_P-Violet",3,2.6
"371","C5_P-Lemon",3,2.6
"372","D6_P-Tquise",3,2.6
"373","A3_unipink",4,4.6
